SupportWorkerID,AreaOfExpertise,TransportationCapacity,CommunityOutreachExperience
5001,Elderly Care,Own Vehicle,3 years
5002,Disability Support,Public Transport,2 years
5003,Mental Health Counseling,None,4 years
5004,Rehabilitation,Public Transport,5 years
5005,Cognitive Exercises,None,4 years
5006,Physical Therapy,Own Vehicle,6 years
5007,Home Support,Public Transport,2 years
5008,Community Engagement,None,3 years
5009,Personal Care,Own Vehicle,7 years
5010,Mental Health Support,Public Transport,4 years
